split,accuracy,f1,auc,n_validation,prediction_count_per_subject,gait_representation
35,0.7777777777777778,0.7647058823529411,0.84375,36,10,Concat
36,0.6216216216216216,0.6666666666666666,0.6411764705882353,37,10,Concat
37,0.6111111111111112,0.6818181818181818,0.6284829721362228,36,10,Concat
38,0.6944444444444444,0.7027027027027027,0.8328173374613003,36,10,Concat
39,0.7777777777777778,0.8181818181818182,0.815625,36,10,Concat
40,0.75,0.7567567567567568,0.84375,36,10,Concat
41,0.7837837837837838,0.8,0.8323529411764706,37,10,Concat
42,0.6388888888888888,0.6486486486486487,0.736842105263158,36,10,Concat
43,0.6944444444444444,0.7027027027027027,0.7213622291021672,36,10,Concat
44,0.7222222222222222,0.75,0.7593749999999999,36,10,Concat
45,0.6666666666666666,0.6842105263157895,0.721875,36,10,Concat
46,0.7567567567567568,0.7567567567567568,0.7794117647058824,37,10,Concat
47,0.75,0.7096774193548387,0.8730650154798761,36,10,Concat
48,0.6388888888888888,0.6486486486486487,0.7956656346749226,36,10,Concat
49,0.7222222222222222,0.7619047619047619,0.734375,36,10,Concat
50,0.6388888888888888,0.7111111111111111,0.75,36,10,Concat
