representation,model,split,accuracy,f1,auc,ap
All3,lr_l2,47,0.75,0.7096774193548387,0.8730650154798761,0.9031886391557633
All3,lr_l2,48,0.6388888888888888,0.6486486486486487,0.7956656346749226,0.8369954785936959
All3,lr_l2,49,0.7222222222222222,0.7619047619047619,0.734375,0.7552575308435452
All3,lr_l2,50,0.6388888888888888,0.7111111111111111,0.75,0.7991346642367514
All3,lr_l1,1,0.6486486486486487,0.6666666666666666,0.7058823529411765,0.7881724811600974
All3,lr_l1,2,0.7777777777777778,0.8095238095238095,0.7801857585139319,0.6961292539408883
All3,lr_l1,3,0.8055555555555556,0.8205128205128205,0.8513931888544891,0.8664524317607227
All3,lr_l1,4,0.7222222222222222,0.7058823529411765,0.80625,0.8662570133759393
All3,lr_l1,5,0.6388888888888888,0.6285714285714286,0.70625,0.728653305758569
All3,lr_l1,6,0.6756756756756757,0.7,0.7147058823529412,0.7061038792490698
All3,lr_l1,7,0.6388888888888888,0.6060606060606061,0.8142414860681113,0.837352149617206
All3,lr_l1,8,0.7777777777777778,0.7894736842105263,0.8606811145510834,0.880753414112547
All3,lr_l1,9,0.6388888888888888,0.6666666666666666,0.8062499999999999,0.7784786161164879
All3,lr_l1,10,0.75,0.7567567567567568,0.85,0.8608693049278089
All3,lr_l1,11,0.8108108108108109,0.8108108108108109,0.8441176470588235,0.8958751682115063
All3,lr_l1,12,0.6666666666666666,0.6470588235294118,0.8018575851393188,0.806059382292069
All3,lr_l1,13,0.8055555555555556,0.8292682926829268,0.7925696594427245,0.8245612330385019
All3,lr_l1,14,0.8055555555555556,0.8372093023255814,0.7734375,0.7212060021890585
All3,lr_l1,15,0.5555555555555556,0.5555555555555556,0.703125,0.7630466052695155
All3,lr_l1,16,0.5675675675675675,0.5555555555555556,0.6352941176470588,0.730355783120467
All3,lr_l1,17,0.75,0.7428571428571429,0.8513931888544891,0.7906064781451778
All3,lr_l1,18,0.8888888888888888,0.8888888888888888,0.9226006191950464,0.9349971168294846
All3,lr_l1,19,0.6388888888888888,0.6486486486486487,0.771875,0.8276827183537712
All3,lr_l1,20,0.7777777777777778,0.8095238095238095,0.796875,0.7672040665732617
All3,lr_l1,21,0.5675675675675675,0.5,0.7911764705882351,0.801969227740597
All3,lr_l1,22,0.7777777777777778,0.7894736842105263,0.8359133126934984,0.8528510624130294
All3,lr_l1,23,0.8055555555555556,0.8205128205128205,0.8792569659442724,0.9199257631745397
All3,lr_l1,24,0.7777777777777778,0.7894736842105263,0.746875,0.7361803759965525
All3,lr_l1,25,0.6388888888888888,0.6829268292682927,0.684375,0.6788738626859
