path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC110_TUG.csv	syn61370552	HC110_TUG.csv	syn61498472	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC110_TandemGait.csv	syn61370552	HC110_TandemGait.csv	syn61498469	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC111_Balance.csv	syn61370552	HC111_Balance.csv	syn61498473	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC111_HurriedPace.csv	syn61370552	HC111_HurriedPace.csv	syn61498475	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC111_HurriedPace_mat.csv	syn61370552	HC111_HurriedPace_mat.csv	syn61498476	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC111_SelfPace.csv	syn61370552	HC111_SelfPace.csv	syn61498477	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC111_SelfPace_mat.csv	syn61370552	HC111_SelfPace_mat.csv	syn61498479	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC111_SelfPace_matTURN.csv	syn61370552	HC111_SelfPace_matTURN.csv	syn61498485	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC111_TUG.csv	syn61370552	HC111_TUG.csv	syn61498489	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC111_TandemGait.csv	syn61370552	HC111_TandemGait.csv	syn61498486	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC112_Balance.csv	syn61370552	HC112_Balance.csv	syn61498490	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC112_HurriedPace.csv	syn61370552	HC112_HurriedPace.csv	syn61498491	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC112_HurriedPace_mat.csv	syn61370552	HC112_HurriedPace_mat.csv	syn61498492	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC112_SelfPace.csv	syn61370552	HC112_SelfPace.csv	syn61498493	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC112_SelfPace_mat.csv	syn61370552	HC112_SelfPace_mat.csv	syn61498494	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC112_SelfPace_matTURN.csv	syn61370552	HC112_SelfPace_matTURN.csv	syn61498498	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC112_TUG.csv	syn61370552	HC112_TUG.csv	syn61498502	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC112_TandemGait.csv	syn61370552	HC112_TandemGait.csv	syn61498501	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC113_Balance.csv	syn61370552	HC113_Balance.csv	syn61498503	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC113_HurriedPace.csv	syn61370552	HC113_HurriedPace.csv	syn61498504	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC113_HurriedPace_mat.csv	syn61370552	HC113_HurriedPace_mat.csv	syn61498505	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC113_SelfPace.csv	syn61370552	HC113_SelfPace.csv	syn61498506	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC113_SelfPace_mat.csv	syn61370552	HC113_SelfPace_mat.csv	syn61498507	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC113_SelfPace_matTURN.csv	syn61370552	HC113_SelfPace_matTURN.csv	syn61498508	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC113_TUG.csv	syn61370552	HC113_TUG.csv	syn61498510	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC113_TandemGait.csv	syn61370552	HC113_TandemGait.csv	syn61498509	True	text/csv				
